[2025-10-26 23:39:10,539] INFO django.utils.autoreload — Watching for file changes with StatReloader
[2025-10-27 00:34:27,510] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:39:17,989] INFO django.server — "POST /admin/auth/user/4/change/ HTTP/1.1" 302 0
[2025-10-27 00:39:18,015] INFO django.server — "GET /admin/auth/user/ HTTP/1.1" 200 23304
[2025-10-27 00:39:18,107] INFO django.server — "GET /static/css/admin_custom.css HTTP/1.1" 304 0
[2025-10-27 00:39:18,113] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:39:18,170] INFO django.server — "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
[2025-10-27 00:39:26,362] INFO django.server — "GET /admin/auth/user/4/change/ HTTP/1.1" 200 34448
[2025-10-27 00:39:26,426] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:39:29,724] INFO django.server — "GET /admin/auth/user/4/password/ HTTP/1.1" 200 14659
[2025-10-27 00:39:29,785] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:39:46,924] INFO django.server — "POST /admin/logout/ HTTP/1.1" 302 0
[2025-10-27 00:39:46,930] INFO django.server — "GET /admin/login/ HTTP/1.1" 200 3082
[2025-10-27 00:40:06,281] INFO django.server — "POST /admin/login/ HTTP/1.1" 200 3419
[2025-10-27 00:40:35,501] INFO django.server — "POST /admin/login/ HTTP/1.1" 200 3419
[2025-10-27 00:40:54,863] INFO django.server — "POST /admin/login/ HTTP/1.1" 200 3419
[2025-10-27 00:41:02,864] INFO django.server — "POST /admin/login/ HTTP/1.1" 200 3419
[2025-10-27 00:41:06,078] INFO django.server — "POST /admin/login/ HTTP/1.1" 302 0
[2025-10-27 00:41:06,098] INFO django.server — "GET /admin/ HTTP/1.1" 200 27149
[2025-10-27 00:41:12,526] INFO django.server — "GET /admin/auth/user/ HTTP/1.1" 200 22727
[2025-10-27 00:41:12,585] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:41:15,353] INFO django.server — "GET /admin/auth/user/4/change/ HTTP/1.1" 200 34432
[2025-10-27 00:41:15,423] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:41:19,139] INFO django.server — "GET /admin/auth/user/4/password/ HTTP/1.1" 200 14643
[2025-10-27 00:41:19,196] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:41:33,740] INFO django.server — "POST /admin/auth/user/4/password/ HTTP/1.1" 200 14958
[2025-10-27 00:41:33,789] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:41:56,448] INFO django.server — "POST /admin/auth/user/4/password/ HTTP/1.1" 302 0
[2025-10-27 00:41:56,511] INFO django.server — "GET /admin/auth/user/4/change/ HTTP/1.1" 200 34937
[2025-10-27 00:41:56,628] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
